object_id,redshift,peak_magnitude,rise_time_days,decay_time_days,color_index,class
OBJ_000,0.1074,-20.211446663623498,46.6,79.9,0.547,Non-TDE
OBJ_001,0.3586,-19.587471136444663,22.6,62.9,0.661,Non-TDE
OBJ_002,0.3972,-19.553955834413678,28.9,58.4,0.511,Non-TDE
OBJ_003,0.3069,-17.717062613147455,25.1,91.6,0.548,Non-TDE
OBJ_004,0.4639,-17.378300246189823,45.9,111.2,0.665,Non-TDE
OBJ_005,0.329,-19.063261081810968,25.7,94.7,0.91,Non-TDE
OBJ_006,0.4583,-16.98684669834357,22.7,83.7,0.55,Non-TDE
OBJ_007,0.4265,-18.040621409387644,24.2,99.2,0.409,Non-TDE
OBJ_008,0.2302,-18.538729686142524,,93.7,0.094,TDE
OBJ_009,0.0568,-21.452604869068356,22.1,106.5,0.892,TDE
OBJ_010,0.1917,-20.29066105269408,26.3,116.5,0.447,Non-TDE
OBJ_011,0.3377,-18.323975537408174,31.6,70.9,0.607,Non-TDE
OBJ_012,0.3363,-21.920693883250134,28.8,43.2,0.881,Non-TDE
OBJ_013,0.2997,-18.92898444699178,38.3,83.0,0.546,Non-TDE
OBJ_014,0.1446,-17.30563546196545,26.8,69.6,0.461,Non-TDE
OBJ_015,0.285,,28.0,106.6,0.784,TDE
OBJ_016,0.1976,-19.967143014577314,32.7,75.5,0.592,Non-TDE
OBJ_017,0.4861,-20.000791158507056,52.4,52.5,0.617,Non-TDE
OBJ_018,0.426,-17.348952092313386,22.1,78.5,0.195,TDE
OBJ_019,0.3636,-18.155548543117245,49.2,60.2,0.741,Non-TDE
OBJ_020,0.1256,,18.2,121.8,0.575,Non-TDE
OBJ_021,0.1355,-17.483628606801854,32.3,99.4,0.226,Non-TDE
OBJ_022,0.0298,-17.977689475951465,26.6,103.0,0.597,Non-TDE
OBJ_023,0.3582,-16.299836515549188,21.8,100.7,0.087,Non-TDE
OBJ_024,0.0643,-18.475918597195264,37.0,106.8,0.968,Non-TDE
OBJ_025,0.2253,-19.1396272689381,36.0,112.7,0.28,Non-TDE
OBJ_026,,-18.80888519087201,25.2,79.2,0.822,Non-TDE
OBJ_027,,-21.75648168404139,9.1,61.6,0.337,Non-TDE
OBJ_028,0.2429,-18.863829544038985,25.8,73.1,0.612,TDE
OBJ_029,0.286,-18.914612517473643,31.4,89.1,0.318,Non-TDE
OBJ_030,0.3508,-20.675893310966824,30.0,38.7,0.699,TDE
OBJ_031,0.0783,-18.72590107294777,37.6,112.9,0.453,Non-TDE
OBJ_032,0.3062,-17.19075157831267,49.3,52.1,0.594,Non-TDE
OBJ_033,0.2745,-19.997940722083538,34.1,102.0,0.503,Non-TDE
OBJ_034,0.1095,-20.47162029801404,35.7,86.6,0.227,Non-TDE
OBJ_035,,-17.178681350417264,31.5,95.7,0.601,TDE
OBJ_036,0.3034,,,80.6,0.399,Non-TDE
OBJ_037,0.3504,-14.88394428189689,35.3,94.3,0.709,Non-TDE
OBJ_038,0.4414,-21.049602617259367,,80.6,0.453,Non-TDE
OBJ_039,0.3159,-17.880288327420743,48.1,78.9,0.485,Non-TDE
OBJ_040,,-18.81687299343177,32.3,72.1,0.837,Non-TDE
OBJ_041,0.0617,-18.793795598026804,27.3,120.5,0.976,Non-TDE
OBJ_042,0.2337,-17.934803048345405,34.5,97.3,0.657,TDE
OBJ_043,0.117,-19.19968780948341,41.4,94.2,0.443,Non-TDE
OBJ_044,0.2141,-21.631737616059972,35.0,72.5,0.425,Non-TDE
OBJ_045,0.4428,-20.446755557772853,40.6,85.3,0.336,Non-TDE
OBJ_046,0.1689,-16.835206608159663,,70.3,0.375,Non-TDE
OBJ_047,0.0698,-17.590714743581735,21.3,80.2,0.445,Non-TDE
OBJ_048,0.1846,-19.14373706864697,24.5,65.8,0.893,Non-TDE
OBJ_049,0.4543,-18.30091072769745,17.3,121.8,0.461,TDE
OBJ_050,0.1433,-14.800935838610457,31.1,74.9,0.255,Non-TDE
OBJ_051,0.3274,-19.014192640690208,25.7,72.5,0.508,TDE
OBJ_052,0.0103,-18.898486627133728,42.3,63.5,0.536,Non-TDE
OBJ_053,0.1828,-19.013835996597237,17.1,74.6,0.507,Non-TDE
OBJ_054,0.1593,-18.09106729416733,45.5,80.1,0.66,TDE
OBJ_055,0.0907,-19.651753765156272,20.2,89.0,0.514,Non-TDE
OBJ_056,0.2717,-18.427911445215653,17.6,77.1,0.654,TDE
OBJ_057,0.2476,-21.72257555997426,21.8,58.0,0.344,Non-TDE
OBJ_058,,-18.570434596719917,49.5,59.7,0.856,Non-TDE
OBJ_059,0.142,-18.8714959148775,29.6,103.6,0.55,Non-TDE
OBJ_060,0.1296,-19.294030916254385,35.3,87.5,0.58,Non-TDE
OBJ_061,0.0925,-19.776970454475222,28.2,103.0,0.343,Non-TDE
OBJ_062,0.1172,-19.514994529273842,29.1,105.6,0.594,Non-TDE
OBJ_063,0.2835,-20.229452930525802,24.9,93.0,0.63,Non-TDE
OBJ_064,0.2079,-22.791590463535336,30.5,65.4,0.266,Non-TDE
OBJ_065,0.0418,-19.480076272036662,34.9,93.8,0.168,Non-TDE
OBJ_066,0.1344,-17.260052475977577,46.8,118.0,0.559,Non-TDE
OBJ_067,0.131,-19.39348097812589,11.3,81.1,0.402,Non-TDE
OBJ_068,0.3512,-18.267556187052353,46.1,96.8,0.552,Non-TDE
OBJ_069,0.359,-20.434103498531048,35.3,89.7,0.242,Non-TDE
OBJ_070,0.0826,-21.312573385774208,26.3,117.4,0.188,Non-TDE
OBJ_071,0.4989,-19.901172959476714,24.5,76.4,0.541,Non-TDE
OBJ_072,0.1407,-20.80386957782748,40.4,113.1,0.43,Non-TDE
OBJ_073,0.4885,-20.815249043801735,32.3,82.5,0.078,Non-TDE
OBJ_074,0.2114,-18.117086264394658,14.7,76.1,0.769,Non-TDE
OBJ_075,0.0262,-16.306078866222585,33.6,92.2,0.238,Non-TDE
OBJ_076,0.1791,-19.836660296457286,41.4,96.8,1.015,Non-TDE
OBJ_077,0.3208,-21.416267608058014,38.6,128.2,0.375,Non-TDE
OBJ_078,0.3435,-17.75274627731908,23.7,96.4,0.58,Non-TDE
OBJ_079,0.2702,-20.937558029817257,16.6,93.9,0.829,Non-TDE
OBJ_080,0.2294,-20.86074886170729,26.7,121.9,0.796,Non-TDE
OBJ_081,0.2809,-18.13341167324131,62.5,102.0,0.897,Non-TDE
OBJ_082,0.3004,,14.6,77.1,0.195,Non-TDE
OBJ_083,0.0496,-20.041580981467558,,117.1,0.273,Non-TDE
